Indicator,Per person state public health funding
Source,"Shortchanging America's Health, Investing in America's Health, The Impact of Chronic Underfunding on America's Public Health System, Trust for America's Health (TFAH).<br />
<br />
Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico, U.S. Census Bureau, Population Division.<br />
<br />
Suggested Citation:
SHADAC analysis of [DATA SOURCE], State Health Compare, SHADAC, University of Minnesota, statehealthcompare.shadac.org, Accessed [DATE]."
Notes,Dollar amount represents state per capita public health funding during the fiscal year. Figures represent state funding only. Data not available for 2006.
Description,Per capita public health funding in each state.


Fips,Location,TimeFrame,Data Type,Data,MOE
01,Alabama,2017,Dollars,56.43214,
01,Alabama,2018,Dollars,57.23,
01,Alabama,2019,Dollars,54.25,
01,Alabama,2020,Dollars,46.81,
01,Alabama,2021,Dollars,52.35,
02,Alaska,2017,Dollars,114.43666,
02,Alaska,2018,Dollars,96.52,
02,Alaska,2019,Dollars,98.25,
02,Alaska,2020,Dollars,215.15,
02,Alaska,2021,Dollars,90.17,
04,Arizona,2017,Dollars,8.83289,
04,Arizona,2018,Dollars,9.66,
04,Arizona,2019,Dollars,15.25,
04,Arizona,2020,Dollars,24.34,
04,Arizona,2021,Dollars,15.32,
05,Arkansas,2017,Dollars,52.29329,
05,Arkansas,2018,Dollars,50.57,
05,Arkansas,2019,Dollars,48.23,
05,Arkansas,2020,Dollars,45.9,
05,Arkansas,2021,Dollars,42.94,
06,California,2017,Dollars,61.69589,
06,California,2018,Dollars,65.71,
06,California,2019,Dollars,71.89,
06,California,2020,Dollars,69.87,
06,California,2021,Dollars,78.47,
08,Colorado,2017,Dollars,50.3202,
08,Colorado,2018,Dollars,50.3,
08,Colorado,2019,Dollars,51.25,
08,Colorado,2020,Dollars,55.3,
08,Colorado,2021,Dollars,51.48,
09,Connecticut,2017,Dollars,29.04789,
09,Connecticut,2018,Dollars,31.06,
09,Connecticut,2019,Dollars,32.47,
09,Connecticut,2020,Dollars,35.01,
09,Connecticut,2021,Dollars,37.46,
10,Delaware,2017,Dollars,41.7192,
10,Delaware,2018,Dollars,40.78,
10,Delaware,2019,Dollars,34.31,
10,Delaware,2020,Dollars,36.77,
10,Delaware,2021,Dollars,N/A,
11,Dist. of Columbia,2017,Dollars,138.70818,
11,Dist. of Columbia,2018,Dollars,134.96,
11,Dist. of Columbia,2019,Dollars,363.18,
11,Dist. of Columbia,2020,Dollars,364.53,
11,Dist. of Columbia,2021,Dollars,370.56,
12,Florida,2017,Dollars,18.76672,
12,Florida,2018,Dollars,18.63,
12,Florida,2019,Dollars,18.62,
12,Florida,2020,Dollars,19.59,
12,Florida,2021,Dollars,19.53,
13,Georgia,2017,Dollars,21.27243,
13,Georgia,2018,Dollars,22.42,
13,Georgia,2019,Dollars,27.35,
13,Georgia,2020,Dollars,27.78,
13,Georgia,2021,Dollars,30.82,
15,Hawaii,2017,Dollars,111.92128,
15,Hawaii,2018,Dollars,119.61,
15,Hawaii,2019,Dollars,127.36,
15,Hawaii,2020,Dollars,125.62,
15,Hawaii,2021,Dollars,121.95,
16,Idaho,2017,Dollars,90.00873,
16,Idaho,2018,Dollars,89.11,
16,Idaho,2019,Dollars,85.26,
16,Idaho,2020,Dollars,84.95,
16,Idaho,2021,Dollars,80.74,
17,Illinois,2017,Dollars,25.49457,
17,Illinois,2018,Dollars,25.95,
17,Illinois,2019,Dollars,30.21,
17,Illinois,2020,Dollars,32.53,
17,Illinois,2021,Dollars,33.85,
18,Indiana,2017,Dollars,12.69304,
18,Indiana,2018,Dollars,13.9,
18,Indiana,2019,Dollars,15.08,
18,Indiana,2020,Dollars,15,
18,Indiana,2021,Dollars,15.34,
19,Iowa,2017,Dollars,70.19464,
19,Iowa,2018,Dollars,40.15,
19,Iowa,2019,Dollars,82.78,
19,Iowa,2020,Dollars,85.37,
19,Iowa,2021,Dollars,36.91,
20,Kansas,2017,Dollars,12.09861,
20,Kansas,2018,Dollars,14.12,
20,Kansas,2019,Dollars,13.01,
20,Kansas,2020,Dollars,14.73,
20,Kansas,2021,Dollars,N/A,
21,Kentucky,2017,Dollars,41.81652,
21,Kentucky,2018,Dollars,34.23,
21,Kentucky,2019,Dollars,35.46,
21,Kentucky,2020,Dollars,35.89,
21,Kentucky,2021,Dollars,29.64,
22,Louisiana,2017,Dollars,21.05356,
22,Louisiana,2018,Dollars,23.98,
22,Louisiana,2019,Dollars,24.81,
22,Louisiana,2020,Dollars,25.58,
22,Louisiana,2021,Dollars,41.21,
23,Maine,2017,Dollars,21.05384,
23,Maine,2018,Dollars,17.69,
23,Maine,2019,Dollars,27.37,
23,Maine,2020,Dollars,33.82,
23,Maine,2021,Dollars,44.34,
24,Maryland,2017,Dollars,40.39319,
24,Maryland,2018,Dollars,42.4,
24,Maryland,2019,Dollars,43.13,
24,Maryland,2020,Dollars,45.07,
24,Maryland,2021,Dollars,108.77,
25,Massachusetts,2017,Dollars,53.37269,
25,Massachusetts,2018,Dollars,76.31,
25,Massachusetts,2019,Dollars,83.44,
25,Massachusetts,2020,Dollars,86.76,
25,Massachusetts,2021,Dollars,104.32,
26,Michigan,2017,Dollars,12.91416,
26,Michigan,2018,Dollars,15.18,
26,Michigan,2019,Dollars,15.17,
26,Michigan,2020,Dollars,17.3,
26,Michigan,2021,Dollars,19.78,
27,Minnesota,2017,Dollars,64.8253,
27,Minnesota,2018,Dollars,43.99,
27,Minnesota,2019,Dollars,39.64,
27,Minnesota,2020,Dollars,106.83,
27,Minnesota,2021,Dollars,77.33,
